Adjusted Gross Income Class,Number of Returns,,Federal AGI (Thousands),California Adjustments (Thousands),California AGI (Thousands),California Deductions (Thousands),Taxable Income (Thousands),Total Tax Liability (Thousands),Wages and Salaries,,Taxable Interest,,Taxable Dividends,,Taxable Pensions and Annuities,,Business Income,,,,Net Sale of Capital Assets,,,,Rents and Royalties,,,,Partnerships and S-Corp Gain,,Partnerships and S-Corp Loss,,Estates and Trusts Gain,,Estates and Trusts Loss,,Farm Income,,,,All Other Federal Income Sources Profit,,All Other Federal Income Sources Loss,,Total Income,,Individual Retirement Plan,,Student Loan Interest,,Tuition & Fees,,Moving Expense,,Half Self-Employment Tax,,Self-Employed Health Insurance,,Self-Employed Retirement Plan,,Penalty on Early Withdrawal of Savings,,Alimony Paid,,Domestic Production,,Total Adjustments,,Total California Subtractions,,Total California Additions,,Medical Expenses,,State and Local Income Taxes,,Real Estate Taxes,,Personal Property Taxes,,Other Taxes,,Total Taxes,,Mortgage Interest,,Points and Investment Interest,,Total Interest,,Cash/Check Contributions,,Non-Cash Contributions,,Contribution Carryover,,Total Contributions,,Casualty and Theft Losses,,All Other Deductions,,Total Federal Itemized Deductions,,California Adjusted to Fed Itemized Deductions,,California Itemized Deductions,,California Standard Deductions,,Personal Exemption Credit,Personal Exemption Credit,Dependent Exemption Credit,Dependent Exemption Credit,Senior/Blind Exemption Credit,Senior/Blind Exemption Credit,Total Exemption Credit,,Other State Tax Credit,,Total Special Credit,,Renter's Credit,,G-1 Tax/5870A Tax,,Alternative Minimum Tax,,Mental Health Tax,,Other Taxes,,Taxes Witheld,,Estimated Taxes Paid,,Excess State Disability Insurance (SDI),,Nonrefundable Child and Dependent Credit,,Overpayment,,Credit to Next Year's Tax,,Total Voluntary Contributions,,Refund,,Tax Due,
"17,000  to  17,999","212,938","72,379","3,857,229","-132,469","3,724,759","1,516,492","2,324,005","6,041","168,537","2,854,019","31,770","39,036","14,051","43,074","25,750","275,592","40,790","527,377","6,125","-55,514","7,191","57,260","5,033","-10,203","5,181","36,834","2,022","-30,217","2,117","21,610","2,048","28,768",388,"4,134",,,a,239,233,"-4,739","45,631","286,491","3,146","96,959","212,716","3,919,267","1,334","2,541","6,447","5,627",778,"1,526",,,"40,171","38,331","3,191","13,993",111,196,399,408,112,427,,,"48,807","64,129","39,173","219,944","7,448","87,475","5,845","104,063","7,891","8,579","6,212","32,921","4,123","2,255",778,602,"8,336","44,356","5,126","66,066",434,"1,325","5,282","67,391","5,864","20,238","3,445","2,934",445,79,"6,309","23,251",,,"7,252","21,018","8,447","241,775",111,95,"19,571","373,855","193,356","1,142,637","225,675","27,532","111,370","42,098","37,722",,"196,152","74,230",667,19,"42,581","2,130","41,692","2,085",,,a,51,,,"2,945",178,"153,718","33,496",943,896,,,,,"178,739","71,182",457,407,,,,,,
"18,000  to  18,999","227,471","110,479","4,313,154","-107,688","4,205,466","1,596,948","2,686,851","7,789","177,235","3,180,724","33,410","28,279","14,737","66,828","24,580","302,129","42,725","608,451","7,670","-84,275","7,059","28,761","6,126","-13,742","5,126","51,611","1,624","-10,852","3,673","44,463","1,836","28,646",333,"1,451",,,111,"1,030",333,"-3,098","48,459","297,602","2,720","72,425","227,349","4,398,293","1,668","4,902","7,613","6,238","1,445","3,639",,,"43,504","44,741","3,224","11,911",,,222,253,333,"5,843",,,"52,896","84,005","43,805","201,618","8,954","93,930","5,080","82,015","8,692","6,589","7,450","34,094","4,291","2,831",955,"1,982","9,149","45,496","6,326","75,270","1,112",996,"6,326","76,266","4,565","8,909","3,366","2,238",111,14,"5,231","11,162",,,"7,702","22,228","9,149","218,360",111,-56,"21,985","372,967","205,486","1,223,981","243,599","29,719","120,976","45,729","43,531",95,"212,600","80,754",610,41,"46,236","2,771","45,736","2,730",,,334,169,,,"2,500",303,"159,616","39,203","2,445","2,966",,,,,"190,195","77,771","1,501","1,815",,,,,,
"19,000  to  19,999","210,911","103,157","4,238,745","-128,287","4,110,458","1,533,896","2,661,697","10,079","166,963","3,191,376","35,399","37,452","15,843","53,148","23,514","294,798","34,639","494,823","6,113","-44,240","8,352","27,303","6,589","-15,834","5,346","57,080","2,044","-24,209","2,759","41,325","1,980","28,098",277,"1,374",,,222,"4,733",333,"-2,736","46,672","315,692","3,489","94,157","210,799","4,309,833","1,667","4,541","7,946","6,850","1,556","3,158",111,333,"33,850","36,055","3,894","10,334",,,445,29,222,"3,601",,,"44,687","72,560","42,159","211,135","10,857","82,848","5,224","78,525","7,871","18,178","6,537","37,978","4,725","2,727",557,579,"8,316","59,462","5,704","72,481","1,199",167,"5,704","72,648","5,090","10,540","3,867","2,561",222,683,"5,757","13,784",,,"6,608","26,415","8,427","219,529",,,"20,388","372,503","190,411","1,161,393","231,594","28,254","111,916","42,304","41,742",54,"197,792","75,650",667,50,"42,025","2,543","41,469","2,491",,,111,954,,,"2,445",249,"156,723","40,829","2,201","6,479",,,,,"177,595","78,382","1,477","2,488",,,,,,
"20,000  to  20,999","221,131","112,204","4,661,795","-128,973","4,532,822","1,562,574","3,032,035","10,503","181,415","3,656,732","33,663","32,638","14,757","55,028","24,079","284,266","32,980","473,071","9,014","-80,580","8,449","47,950","4,475","-9,795","5,518","50,162","3,292","-45,139","1,630","44,125","1,186","49,054",446,"2,382",112,"1,213",a,56,a,"-1,315","48,596","322,448","3,401","50,153","220,908","4,731,610","2,110","7,429","6,279","5,417","1,778","2,608",,,"31,869","35,043","3,847","11,743",112,345,778,417,111,400,,,"42,927","67,461","44,533","183,428","9,126","54,455","4,693","73,941","7,085","8,733","5,041","26,327","2,847","1,161",911,304,"7,097","36,526","4,372","56,335",782,"1,860","4,595","58,196","3,778","8,031","2,501","1,712",222,400,"4,334","10,142",,,"7,419","25,835","7,097","182,584",,,"20,047","341,345","201,084","1,221,229","245,178","29,912","123,655","46,742","37,134",27,"210,570","81,183",222,33,"48,683","2,946","48,349","2,897",,,,,,,"3,500",183,"167,909","47,387","1,557","1,232",,,,,"189,439","80,913",893,803,,,,,,
"21,000  to  21,999","213,934","110,263","4,749,561","-151,427","4,598,134","1,564,669","3,094,435","12,610","171,289","3,540,429","36,091","43,096","17,032","67,079","25,567","371,396","31,911","510,555","6,443","-53,264","8,181","38,467","6,564","-13,531","5,358","53,037","2,680","-25,131","2,692","40,323","1,756","29,138",166,"1,622",,,222,"2,219",388,"-2,846","51,200","343,481","3,649","56,862","213,823","4,830,932","1,334","5,158","9,902","9,628","1,445","3,406",111,389,"32,301","37,185","5,222","16,672",111,723,388,160,55,"3,214",,,"44,926","83,748","47,188","223,295","9,709","71,868","5,398","81,955","8,238","7,924","6,626","33,573","4,444","1,762",222,101,"8,904","43,360","6,182","73,934",889,127,"6,182","74,061","5,609","10,727","3,331","3,648",333,"1,605","6,054","15,980",,,"7,335","30,101","9,016","221,362",111,719,"23,963","407,501","189,971","1,157,168","240,584","29,351","121,157","45,797","42,436",27,"205,810","80,323",445,25,"51,738","2,930","51,516","2,904",,,333,201,,,"3,611",408,"159,404","45,248","2,403","7,646",,,,,"177,806","73,526","1,289","1,338",,,,,,
"22,000  to  22,999","217,285","112,590","5,069,354","-179,761","4,889,593","1,547,012","3,375,053","13,849","178,288","3,934,301","36,600","19,948","16,751","49,371","25,774","359,855","29,309","459,477","8,005","-67,927","8,645","39,703","7,734","-17,783","5,323","59,418","2,398","-20,207","3,533","52,249","2,623","40,117",333,"7,153",,,111,58,667,"-7,485","52,296","391,772","3,555","75,155","217,173","5,144,195","2,178","9,727","9,670","8,059","1,000","1,100",,,"29,253","33,817","4,022","15,252",112,"1,081",333,34,667,"5,146",,,"41,491","76,991","48,000","255,769","11,103","76,008","3,948","43,610","6,252","6,994","5,252","27,052","4,274","3,327",610,391,"6,640","37,764","4,640","54,042",365,194,"4,640","54,236","4,637","9,066","3,333","4,913",222,338,"5,081","14,317",,,"6,214","28,540","6,752","151,360",,,"21,804","337,360","195,481","1,209,652","248,069","30,264","128,242","48,475","43,527",27,"208,723","84,048",557,27,"53,528","3,106","53,082","3,074",,,32,107,,,"2,890",408,"167,427","51,016","2,268","1,363",,,,,"178,810","73,626",610,278,,,,,,
"23,000  to  23,999","217,576","115,926","5,264,616","-150,722","5,113,894","1,573,880","3,574,439","17,551","177,717","4,114,438","35,867","30,694","14,684","58,703","26,304","380,374","27,242","452,043","6,889","-64,429","7,997","33,777","7,432","-17,234","4,511","54,567","2,631","-29,195","2,993","41,198","2,180","35,140",389,"1,917",,,111,"3,377",55,"-1,555","51,554","401,441","3,035","99,539","217,465","5,330,955","1,833","6,790","10,457","9,168","1,456","3,068",,,"26,854","33,091","3,500","11,653",388,"2,000",556,42,333,"2,347",,,"40,310","68,917","47,545","238,630","10,601","87,908","4,665","51,805","8,347","10,205","7,459","35,767","5,164","3,082",944,510,"8,681","49,564","6,513","76,361",668,536,"6,737","76,898","5,109","11,897","3,609","3,506",333,"1,352","5,497","16,755",,,"5,470","17,930","8,681","197,318",,,"24,344","386,050","193,232","1,187,830","246,241","30,041","122,307","46,232","41,748",,"209,237","81,365",111,9,"53,739","3,192","53,517","3,165",,,222,164,,,"4,335",795,"173,609","59,443","1,787","2,925",,,,,"181,458","77,722","1,167",846,,,,,,
"24,000  to  24,999","215,648","111,914","5,475,150","-190,211","5,284,939","4,424,463","3,711,993","18,007","181,057","4,343,106","35,999","36,106","15,397","55,262","22,232","334,972","27,180","422,679","8,834","-73,544","8,347","30,033","4,881","-12,163","5,787","64,058","1,977","-17,804","2,649","30,883","1,771","11,058",389,"6,742",167,"3,316",111,"1,791",111,-403,"46,464","372,388","1,717","36,194","215,536","5,544,315","2,668","13,910","9,223","7,428","1,000","2,504",,,"27,615","31,623","3,276","8,624",445,"2,779","1,000",72,a,7,,,"39,839","71,847","42,327","237,641","8,609","47,430","5,664","2,866,013","9,271","8,143","7,441","40,846","5,439","3,154","1,278","1,412","9,495","53,554","6,498","93,727",275,289,"6,609","94,016","6,273","13,881","4,496","7,192",333,"1,470","6,993","22,542",,,"6,356","39,154","9,618","3,043,938",,,"22,287","3,204,467","193,360","1,219,996","250,701","30,585","128,860","48,709","38,700",27,"209,255","84,014",388,11,"52,344","3,152","52,011","3,109",,,277,244,,,"3,557",272,"171,939","59,140","1,502","1,620",a,,,,"179,443","78,011",335,368,,,,,,
"25,000  to  25,999","213,029","112,282","5,643,704","-210,844","5,432,860","1,603,444","3,869,686","19,646","178,192","4,451,737","37,648","23,230","15,444","55,555","24,260","357,039","26,793","452,508","8,506","-56,314","9,599","31,144","6,142","-15,631","5,733","49,787","3,408","-33,752","3,631","49,545","2,164","27,796",277,"2,637",,,166,"1,349",220,"-1,268","49,548","429,808","2,278","53,699","213,029","5,715,914","1,722","8,231","10,721","8,647",778,"1,609",,,"26,902","33,218","4,398","15,918",166,629,111,13,,,,,"40,735","72,137","45,486","269,469","10,344","58,625","5,548","64,585","9,834","19,380","8,780","42,693","6,876","2,495",722,322,"10,223","64,891","8,224","97,808","1,166","1,070","8,390","98,879","6,711","15,321","5,046","5,654",333,"1,269","7,931","22,244",,,"7,239","30,150","10,223","249,260",111,-111,"25,944","427,159","187,084","1,176,285","247,586","30,206","124,390","47,019","39,858",14,"207,247","82,087",333,24,"52,391","3,143","52,168","3,115",,,,,,,"3,163",373,"172,834","63,390","2,166","2,156",a,,,,"180,728","73,654",833,"1,289",,,,,,
"26,000  to  26,999","211,293","116,093","5,782,308","-185,176","5,597,132","1,557,555","4,084,530","24,101","177,625","4,595,174","36,632","38,820","15,800","61,122","20,939","357,734","27,122","476,637","6,828","-72,321","8,429","38,585","6,167","-12,162","5,211","62,501","2,841","-24,175","2,298","36,621","1,688","23,306",554,"5,215",,,,,166,-955,"46,670","383,541","2,420","55,867","211,182","5,866,520","1,275","6,138","10,220","9,336",778,"2,059",111,88,"26,678","35,024","4,330","16,405",222,"3,724",166,21,277,"5,456",,,"39,061","81,470","41,599","251,772","10,310","66,595","5,107","72,524","8,046","8,195","5,993","30,224","4,607","2,968",831,850,"8,213","42,237","5,330","71,404",674,450,"5,441","71,853","4,929","12,004","3,488","4,103",386,"3,902","5,369","20,008",,,"4,334","26,466","8,326","214,323",,,"21,802","383,787","189,214","1,173,768","243,569","29,715","125,718","47,521","39,358",61,"207,069","82,038",445,52,"55,444","3,375","54,945","3,310",,,,,,,"2,443",405,"169,303","66,851","2,120","1,320",,,,,"171,651","66,365","1,053",209,,,,,,
"27,000  to  27,999","211,801","112,963","6,045,825","-222,318","5,823,536","1,604,281","4,264,094","28,409","181,310","4,844,341","36,915","43,322","17,615","61,433","24,602","395,733","24,843","418,441","6,880","-52,207","9,273","63,054","7,763","-15,769","5,536","54,596","2,769","-40,988","2,920","41,931","2,003","30,384",55,5,,,a,1,87,"-10,350","49,597","414,056","2,651","63,168","211,690","6,123,379","1,718","8,730","10,832","9,044",499,"1,398",111,333,"23,957","31,438","4,714","18,567",277,"1,380",388,75,555,"4,301",,,"37,450","79,927","44,482","303,776","10,290","81,458","6,305","88,936","8,856","11,061","6,983","35,560","5,377","2,574","1,331","2,251","9,366","51,446","6,484","72,828","1,553","2,254","6,652","75,081","6,301","14,459","4,255","3,697",222,315,"7,132","18,470",,,"5,833","34,276","9,366","238,821",111,111,"23,146","412,586","188,433","1,191,696","245,893","29,999","125,980","47,620","40,535",40,"206,909","82,563",778,29,"54,152","3,306","53,543","3,224",,,223,127,,,"2,888",296,"176,530","73,477","3,029","3,248",,,111,9,"175,972","65,599","1,753","1,270",,,,,,
"28,000  to  28,999","213,278","113,096","6,301,420","-223,873","6,076,923","1,695,424","4,457,463","31,767","181,320","5,081,563","35,951","37,816","16,262","63,493","26,278","439,899","23,268","390,083","7,827","-76,349","10,421","48,792","6,410","-14,296","4,217","53,158","2,933","-75,889","2,847","88,810","2,006","30,240",497,"6,732",a,22,111,"1,892",220,"-2,757","47,416","441,511","2,991","65,494","213,278","6,390,617","2,551","8,762","10,951","10,607",889,"2,039",,,"21,887","29,003","4,157","15,125",333,"2,133",554,50,110,536,,,"36,054","71,991","44,467","305,329","12,701","81,456","6,690","110,185","10,693","36,551","8,481","48,232","6,258","3,372","1,048",714,"10,970","88,869","7,766","101,897","1,491","4,836","7,821","106,734","7,178","18,986","5,077","3,715",a,121,"7,953","22,823",,,"6,828","45,571","10,970","311,155",111,534,"25,561","509,664","187,717","1,185,761","246,479","30,070","135,765","51,319","38,055",47,"209,466","86,027",556,117,"55,305","3,434","54,639","3,287",,,,,,,"3,999",522,"178,499","81,451","1,889","3,396",,,,,"177,539","66,714","1,321","3,311",,,,,,
"29,000  to  29,999","207,753","111,436","6,369,392","-240,682","6,128,710","1,599,507","4,582,722","35,422","179,364","5,182,004","37,023","38,469","17,039","63,804","23,124","407,045","21,538","379,276","6,899","-63,960","8,125","26,799","7,549","-18,735","4,810","54,116","2,987","-27,662","2,411","32,821","1,903","21,196",560,"2,617",55,66,111,"5,129",,,"47,118","430,128","2,972","53,566","207,753","6,437,027","2,163","9,157","11,273","8,303",778,"1,477",,,"21,216","27,796","3,819","11,829",388,"4,554",443,100,111,"2,223",,,"37,104","68,602","43,092","300,178","11,587","59,497","4,756","80,596","8,692","12,480","8,138","45,708","5,474","3,373",723,623,"9,089","62,184","7,203","87,532",721,108,"7,204","87,639","6,015","14,994","3,638","2,595",554,406,"6,511","17,995",,,"5,540","29,466","9,144","249,111",,,"21,912","412,461","185,841","1,187,047","243,659","29,726","130,073","49,168","36,981",74,"204,194","83,402",441,16,"52,854","3,180","52,468","3,150",,,,,,,"3,555",260,"177,987","84,718","2,650","2,402",,,111,1,"170,067","59,460","1,438",760,,,,,,
"30,000  to  30,999","199,104","107,610","6,349,957","-279,957","6,070,000","1,605,341","4,536,919","35,962","169,500","5,059,141","37,553","38,704","15,417","59,723","22,884","394,802","22,847","422,653","7,146","-56,262","8,915","53,898","5,603","-14,329","4,163","37,442","2,008","-22,583","3,301","59,667","1,817","53,635",716,"10,125",,,275,"3,972",166,"-1,942","44,965","483,811","2,711","45,003","199,104","6,430,186","3,079","10,750","11,271","10,266","1,055","2,266",111,341,"22,144","30,753","4,259","14,564",388,"2,251",722,76,166,370,,,"37,126","76,724","42,034","333,994","10,224","54,037","5,064","105,039","8,854","13,170","7,635","43,921","4,354","2,634",993,"1,629","9,019","61,355","6,867","95,715",673,"1,590","7,035","97,305","5,281","14,149","3,793","3,014",55,147,"6,108","17,310",,,"5,979","29,864","9,240","281,812",55,34,"23,660","475,244","175,221","1,130,097","238,308","29,074","132,698","50,160","37,157",40,"195,983","83,760",443,94,"54,411","3,260","53,633","3,084",,,,,,,"3,048",302,"167,423","86,678","2,516","3,987",55,17,333,12,"156,043","58,660","1,685","3,424",,,,,,
"31,000  to  31,999","204,036","117,028","6,731,517","-306,910","6,424,606","1,604,707","4,853,968","42,523","175,238","5,391,694","38,919","49,699","17,271","68,700","25,054","464,687","23,305","370,145","7,051","-52,525","10,318","59,296","6,199","-12,931","5,388","51,824","3,203","-44,339","3,172","46,707","1,842","46,584",276,"3,392",55,"1,177",111,"10,073",331,"-5,125","48,232","502,006","3,031","51,805","204,036","6,806,086","2,327","9,624","11,155","9,157",499,170,,,"23,025","27,584","3,761","17,792",220,592,219,313,220,"3,030",,,"37,281","75,525","44,625","357,135","11,403","50,225","5,633","84,672","10,394","22,157","8,499","47,307","5,903","2,924","1,101","1,067","10,724","73,454","7,567","99,508",730,"1,215","7,744","100,723","6,888","17,093","3,633","5,222",164,693,"7,881","23,008",,,"6,983","42,696","10,945","282,957",55,10,"25,443","460,243","178,593","1,144,464","242,205","29,549","125,638","47,491","39,409",27,"201,146","81,847",388,87,"58,387","3,537","57,611","3,424",,,,,,,"4,882",547,"173,919","94,528","2,868","3,263",,,445,27,"156,945","64,053","1,276","1,023",,,,,,
"32,000  to  32,999","200,515","109,596","6,815,088","-300,171","6,514,917","1,608,672","4,955,394","44,690","173,691","5,454,451","38,395","49,425","17,714","56,867","23,968","445,740","23,138","385,257","7,267","-52,029","9,559","75,216","6,176","-13,008","4,586","52,347","3,422","-38,534","2,619","51,371","1,890","36,082",331,"1,698",,,,,275,"-4,945","46,442","544,472","2,377","80,183","200,515","6,892,836","2,883","14,252","11,497","11,371",610,"1,405",111,56,"21,697","27,852","3,926","14,349",166,609,496,206,275,"1,709",,,"36,687","77,050","42,393","367,038","11,362","66,868","4,782","81,247","10,709","17,335","8,605","52,046","7,065","4,766","1,659","2,788","10,764","76,935","7,950","100,485",661,775,"8,061","101,260","6,891","19,190","5,400","6,727",557,"1,926","7,943","27,843",,,"4,704","26,029","10,819","284,111",109,-281,"25,541","473,699","174,919","1,134,973","241,393","29,450","132,388","50,043","37,297",81,"198,124","84,040",607,146,"57,666","3,737","56,559","3,377",,,116,73,,,"4,216",622,"174,229","99,887","2,646","5,258",a,,667,81,"161,295","66,384","1,115",612,,,,,,
"33,000  to  33,999","198,960","114,648","6,977,974","-311,714","6,666,260","2,058,516","5,124,237","50,328","171,267","5,613,789","38,207","42,643","16,971","83,174","23,387","472,061","19,428","332,692","6,827","-45,900","9,556","49,553","8,006","-19,608","5,019","51,290","3,442","-30,791","3,217","46,042","1,842","29,119",552,"6,902",,,111,596,55,-260,"43,526","542,796","2,378","70,042","198,849","7,048,692","3,660","15,019","12,265","10,717","1,000","2,129",55,71,"20,095","25,042","3,478","12,713",221,"1,414",439,38,441,"3,354",,,"36,403","74,602","39,598","406,750","10,992","95,037","5,131","56,917","10,672","16,161","7,966","40,922","7,286","4,303",998,"1,900","10,792","63,286","7,918","602,365",783,466,"7,973","602,831","7,388","24,055","5,846","7,167",554,"3,507","8,550","34,729",,,"7,477","38,306","10,903","760,150",111,-201,"27,336","958,083","171,624","1,100,433","237,926","29,027","124,772","47,164","36,743",47,"197,404","80,671",610,105,"62,285","3,957","61,674","3,745",,,111,135,,,"2,715",326,"171,931","105,081","3,693","5,161",,,445,71,"159,002","67,296","2,255","2,898",,,,,,
"34,000  to  34,999","178,815","106,324","6,484,696","-316,093","6,168,603","1,439,037","4,766,208","48,645","152,849","5,146,403","36,377","43,250","15,297","67,555","23,556","459,197","16,967","323,111","6,364","-51,855","8,034","52,708","6,831","-15,106","4,965","64,998","2,925","-32,379","3,595","72,606","1,384","47,483",658,"8,951",164,537,109,"2,294",273,"-7,521","43,776","544,304","3,355","66,091","178,815","6,564,406","2,764","14,115","11,370","11,674",443,988,111,442,"16,639","24,859","2,697","15,527",439,"3,103",441,17,273,"2,572",,,"31,329","77,543","40,522","389,410","10,606","73,317","5,657","87,040","10,394","17,877","8,515","43,971","6,659","3,324",876,"1,312","10,613","66,485","7,750","94,243",989,692,"7,804","94,935","6,534","21,038","4,944","7,014",164,970,"7,746","29,021",,,"8,267","41,813","10,722","278,709",,,"26,678","462,133","152,137","976,904","215,192","26,253","112,705","42,603","35,721",88,"177,702","73,212",553,38,"52,760","3,367","52,095","3,206",,,,,,,"3,710",429,"155,373","100,668","3,849","7,690",,,445,84,"142,377","66,795","1,920","4,206",,,,,,
"35,000  to  35,999","179,763","99,122","6,713,998","-332,004","6,381,994","1,476,406","4,938,872","49,869","153,069","5,325,255","38,941","41,604","17,013","63,756","23,248","449,737","19,080","381,077","6,680","-57,799","8,976","53,665","5,913","-12,439","4,812","52,523","3,061","-38,510","4,266","105,148","2,353","45,616",503,"7,422",109,"1,133",55,16,273,"-9,279","41,656","538,997","2,820","57,968","179,707","6,796,449","2,514","13,667","12,408","12,690",547,"1,802",,,"19,245","28,638","3,772","17,152",601,"5,444",164,13,273,"2,335",,,"35,588","87,408","38,446","387,951","12,880","55,947","5,045","70,001","10,020","21,336","8,042","51,412","5,521","2,647","1,203",898,"10,130","76,293","6,959","91,030",711,"1,112","7,069","92,142","7,598","20,041","4,810","5,608",273,"1,800","8,309","27,449",,,"7,341","41,855","10,184","260,814",,,"26,915","476,832","152,739","999,574","219,017","26,720","122,288","46,225","33,736",40,"178,610","77,058",656,122,"50,901","3,449","50,245","3,200",,,,,,,"3,608",485,"155,637","106,998","3,608","5,643",55,16,273,73,"143,927","70,198","1,367","1,401",,,,,,
"36,000  to  36,999","176,603","103,976","6,776,354","-331,150","6,445,204","1,446,304","5,023,005","53,940","152,025","5,410,686","38,887","35,238","15,045","59,273","23,395","481,037","18,148","340,753","6,013","-54,333","8,254","44,857","5,817","-12,897","5,588","61,661","2,733","-32,776","2,897","56,650","1,749","35,415",328,"7,537",,,55,,220,"-3,026","43,795","541,856","1,742","38,312","176,603","6,862,789","3,225","15,881","11,424","10,313",601,"1,580",,,"18,258","25,467","3,936","15,571",273,"4,455",656,499,601,"5,954",,,"33,836","85,591","39,248","379,761","11,198","48,611","5,031","79,984","10,168","13,618","8,802","47,619","5,904","3,947","1,531","1,244","10,497","66,428","8,529","106,572","1,585","1,595","8,693","108,167","6,997","14,260","4,646","5,453",109,"1,071","7,543","20,784",,,"6,418","31,085","10,552","280,389",55,-38,"26,250","473,145","150,298","973,159","216,706","26,438","114,988","43,465","36,113",47,"175,564","74,309",383,116,"49,960","3,374","49,304","3,180",,,,,,,"3,990",605,"156,169","110,513","3,072","3,192",110,27,109,24,"141,355","67,988",929,433,,,,,,
"37,000  to  37,999","173,523","101,574","6,875,490","-367,616","6,507,874","1,475,205","5,063,496","55,362","149,790","5,464,169","38,443","37,826","15,100","66,233","21,052","443,753","17,438","345,576","6,674","-51,436","9,032","51,146","5,523","-11,820","4,047","41,456","3,724","-36,654","3,990","77,743","2,298","36,840",383,"4,602",55,113,164,319,111,"-5,570","44,181","584,316","2,039","29,482","173,468","6,946,246","2,733","12,256","11,205","10,341",820,"1,585",55,84,"17,820","27,154","3,006","11,677",492,"4,838",656,268,273,"4,067",,,"32,962","76,551","40,082","417,084","11,393","49,468","5,140","68,884","12,470","22,020","10,228","57,539","7,332","5,010","1,641","2,701","12,580","87,269","9,080","121,083","1,314","1,388","9,300","122,471","8,801","24,335","5,685","8,452",273,"1,697","9,730","34,484",,,"7,882","54,929","12,581","324,131",,,"28,494","527,785","144,919","947,420","213,493","26,046","113,772","43,006","33,906",40,"171,982","73,186",437,91,"51,382","3,419","50,945","3,260",55,2,55,58,,,"2,678",404,"153,771","118,080","3,176","4,814",,,164,46,"140,379","74,106","1,536","1,590",,,,,,
"38,000  to  38,999","168,353","100,271","6,806,737","-326,121","6,480,616","1,440,443","5,066,246","59,716","145,356","5,449,730","36,662","32,307","13,518","59,583","22,905","510,724","18,161","335,342","5,685","-45,659","8,966","51,806","5,109","-10,823","3,774","39,084","3,237","-43,109","2,759","55,738","2,356","23,753",219,960,,,109,"2,500",273,"-12,563","39,588","538,190","2,018","52,691","168,353","6,886,930","2,843","14,555","11,588","11,951",437,964,55,49,"17,767","25,746","2,788","14,042",164,"4,253",219,47,219,"2,990",,,"32,526","80,193","36,419","376,181","9,562","50,060","5,744","96,127","11,429","16,439","9,352","50,876","7,326","4,145","1,312","2,122","11,758","73,583","8,259","108,828","1,094","2,174","8,368","111,002","8,036","23,581","5,084","5,161",273,"1,182","8,637","29,924",,,"7,296","47,449","11,868","315,427",,,"27,840","525,757","140,512","914,686","206,751","25,224","108,451","40,994","32,486",47,"167,369","70,181",492,119,"49,195","3,366","48,758","3,125",,,55,10,,,"3,990",588,"149,784","116,310","2,625","2,604",,,164,75,"135,189","67,218","1,203",622,,,,,,
